FIPS,Province_State,Country_Region,Date,People_Fully_Vaccinated,People_Partially_Vaccinated
1,Alabama,US,2020-12-10,,
1,Alabama,US,2020-12-11,,
1,Alabama,US,2020-12-12,,
1,Alabama,US,2020-12-13,,
1,Alabama,US,2020-12-14,,
1,Alabama,US,2020-12-15,,
1,Alabama,US,2020-12-16,,
1,Alabama,US,2020-12-17,,
1,Alabama,US,2020-12-18,,
1,Alabama,US,2020-12-19,,
1,Alabama,US,2020-12-20,,
1,Alabama,US,2020-12-21,,
1,Alabama,US,2020-12-22,,
1,Alabama,US,2020-12-23,,
1,Alabama,US,2020-12-24,,
1,Alabama,US,2020-12-25,,
1,Alabama,US,2020-12-26,,
1,Alabama,US,2020-12-27,,
1,Alabama,US,2020-12-28,,
1,Alabama,US,2020-12-29,,
1,Alabama,US,2020-12-30,,
1,Alabama,US,2020-12-31,,
1,Alabama,US,2021-01-01,,
1,Alabama,US,2021-01-02,,
1,Alabama,US,2021-01-03,,
1,Alabama,US,2021-01-04,,
1,Alabama,US,2021-01-05,,
1,Alabama,US,2021-01-06,,
1,Alabama,US,2021-01-07,,
1,Alabama,US,2021-01-08,,
1,Alabama,US,2021-01-09,,
1,Alabama,US,2021-01-10,,
1,Alabama,US,2021-01-11,,
1,Alabama,US,2021-01-12,,
1,Alabama,US,2021-01-13,,
1,Alabama,US,2021-01-14,,
1,Alabama,US,2021-01-15,,
1,Alabama,US,2021-01-16,,
1,Alabama,US,2021-01-17,,
1,Alabama,US,2021-01-18,,
1,Alabama,US,2021-01-19,,
1,Alabama,US,2021-01-20,,
1,Alabama,US,2021-01-21,,
1,Alabama,US,2021-01-22,,
1,Alabama,US,2021-01-23,,
1,Alabama,US,2021-01-24,,
1,Alabama,US,2021-01-25,,
1,Alabama,US,2021-01-26,,
1,Alabama,US,2021-01-27,,
1,Alabama,US,2021-01-28,,
1,Alabama,US,2021-01-29,,
1,Alabama,US,2021-01-30,,
1,Alabama,US,2021-01-31,,
1,Alabama,US,2021-02-01,,
1,Alabama,US,2021-02-02,,
1,Alabama,US,2021-02-03,,
1,Alabama,US,2021-02-04,,
1,Alabama,US,2021-02-05,,
1,Alabama,US,2021-02-06,,
1,Alabama,US,2021-02-07,,
1,Alabama,US,2021-02-08,,
1,Alabama,US,2021-02-09,88453,300163
1,Alabama,US,2021-02-10,95033,309942
1,Alabama,US,2021-02-11,104362,320223
1,Alabama,US,2021-02-12,114306,326052
1,Alabama,US,2021-02-13,125553,334003
1,Alabama,US,2021-02-14,133029,337033
1,Alabama,US,2021-02-15,137032,337033
1,Alabama,US,2021-02-16,137032,336918
1,Alabama,US,2021-02-17,152781,341124
1,Alabama,US,2021-02-18,158246,340556
1,Alabama,US,2021-02-19,169339,353127
1,Alabama,US,2021-02-20,192304,346456
